Pais,año,tasa_suicidio,Gasto_salud,Creci_econ,Educa_,desempleo
Colombia,2014,3.69,7.19,3.448395232,94.18624878,8.569999695
Colombia,2013,3.62,7.02,4.184821897,,9.050000191
Colombia,2012,3.81,6.75,2.981272873,,9.739999771
Colombia,2011,3.67,6.78,5.917244264,93.58052826,10.10999966
Colombia,2010,3.85,7.07,3.402533132,93.37232971,10.97999954
Colombia,2009,4.15,7.31,0.020713246,93.24468994,11.28999996
Colombia,2008,4.27,6.84,2.075784094,93.37818146,10.48999977
Colombia,2007,4.25,6.49,5.428634847,92.6517868,10.25
Colombia,2006,4.3,6.34,5.350402516,92.29968262,11.28999996
Colombia,2005,4.33,6.07,3.423322226,92.84866333,11.06000042
Colombia,2004,4.7,5.8,3.850805348,92.8037796,12.73999977
Colombia,2003,4.81,5.78,2.393939659,,13.22000027
Colombia,2002,4.88,5.73,0.950680914,,14.47999954
Colombia,2001,5.23,5.94,0.096779498,,15.03999996
Colombia,2000,5.3,5.64,1.287367824,,20.52000046
Costa Rica,2019,7.62,7.27,1.281513711,,11.48999977
Costa Rica,2018,6.79,7.3,1.600140073,97.86379242,9.630000114
Costa Rica,2017,5.79,7.05,3.092566338,,8.140000343
Costa Rica,2016,7.29,7.32,3.108306775,,8.600000381
Costa Rica,2015,6.41,7.59,2.531383286,,9
Costa Rica,2014,5.35,7.66,2.391709165,,9.06000042
Costa Rica,2013,6.42,7.68,1.325289728,,8.770000458
Costa Rica,2012,6.34,7.79,3.653958913,,9.779999733
Costa Rica,2011,6.7,8.12,3.147663007,97.40657806,10.14000034
Costa Rica,2010,6.76,8.03,4.056807725,,7.170000076
Costa Rica,2009,5.55,7.86,-2.136805798,,7.710000038
Costa Rica,2008,5.49,7.47,3.365398682,,4.78000021
Costa Rica,2007,5.64,7,6.760552891,,4.489999771
Costa Rica,2006,8.43,6.94,5.846817278,,5.739999771
Costa Rica,2005,6.69,6.66,2.512478291,,6.570000172
Costa Rica,2004,8.37,6.63,2.914440846,,6.389999866
Costa Rica,2003,8.14,6.97,2.735632301,,6.559999943
Costa Rica,2002,7.25,6.87,1.731106373,,6.329999924
Costa Rica,2001,5.57,6.47,1.651631397,,5.920000076
Costa Rica,2000,6.85,6.56,1.851802693,94.86818695,5.079999924
Cuba,2019,10.19,11.34,-0.123773042,,1.735000014
Cuba,2018,10.17,11.19,2.258481461,,1.700000048
Cuba,2017,10.53,11.71,1.771820723,,1.700000048
Cuba,2016,9.73,12.22,0.422151607,,2
Cuba,2015,10.36,12.81,4.273361609,,2.400000095
Cuba,2014,10.23,12.14,0.831422267,,2.700000048
Cuba,2013,10.64,10.43,2.514381705,,3.289999962
Cuba,2012,10.74,9.3,2.827842758,99.75253296,3.460000038
Cuba,2011,11.13,11.31,2.703145906,,3.180000067
Cuba,2010,11.45,10.69,2.398360498,,2.5
Cuba,2009,11.08,12.29,1.544057101,,1.669999957
Cuba,2008,10.39,11.31,4.247861543,,1.580000043
Cuba,2007,9.92,10.97,7.358653772,,1.789999962
Cuba,2006,10.63,8.27,12.06929637,,1.909999967
Cuba,2005,11.1,8.76,11.09089503,,1.950000048
Cuba,2004,12.02,6.83,5.571376329,,1.850000024
Cuba,2003,11.98,7.1,3.519873983,,2.329999924
Cuba,2002,12.91,7.11,1.107967859,99.79907227,3.309999943
Cuba,2001,13.72,6.98,2.831491929,,4.079999924
Cuba,2000,15.63,6.58,5.517333145,,5.449999809
Rep. Dominicana,2019,5.11,5.93,3.958404175,,6.360000134
Rep. Dominicana,2018,5.49,5.73,5.834537488,,5.860000134
Rep. Dominicana,2017,6.02,5.83,3.518071155,,5.829999924
Rep. Dominicana,2016,6.77,5.83,5.468634895,93.77845764,7.28000021
Rep. Dominicana,2015,6.84,5.78,5.715518778,91.99121094,7.610000134
Rep. Dominicana,2014,6.59,5.75,5.81878933,91.76376343,6.71999979
Rep. Dominicana,2013,6.06,5.76,3.650818788,90.85814667,7.349999905
Rep. Dominicana,2012,5.8,5.89,1.500005264,90.15518188,6.71999979
Rep. Dominicana,2011,5.5,5.67,1.89221321,90.10637665,6.090000153
Rep. Dominicana,2010,5.38,5.58,7.016783452,89.53872681,5.210000038
Rep. Dominicana,2009,5.63,5.09,-0.304580775,,5.46999979
Rep. Dominicana,2008,5.61,4.73,1.908505747,,4.760000229
Rep. Dominicana,2007,5.69,4.21,6.033693331,88.24446106,5.159999847
Rep. Dominicana,2006,5.61,3.99,7.736422901,,5.650000095
Rep. Dominicana,2005,5.59,4.35,7.95089605,,6.590000153
Rep. Dominicana,2004,5.32,4.29,1.151470008,,6.300000191
Rep. Dominicana,2003,5.33,4.39,-2.742901918,,6.940000057
Rep. Dominicana,2002,4.9,4.99,2.981566664,86.99646759,6.78000021
Rep. Dominicana,2001,4.75,4.88,0.942844621,,7.260000229
Rep. Dominicana,2000,4.9,4.88,3.079984528,,6.429999828
Ecuador,2019,7.68,7.82,-1.653249634,,3.809999943
Ecuador,2018,8.12,7.86,-0.483429078,,3.529999971
Ecuador,2017,9.26,7.43,0.573913174,92.82978821,3.839999914
Ecuador,2016,9.06,7.28,-2.898018796,94.35022736,4.599999905
Ecuador,2015,8.88,7.49,-1.50763432,94.45565796,3.619999886
Ecuador,2014,8.9,6.72,2.198973161,94.22264099,3.480000019
Ecuador,2013,9.68,6.8,3.387267007,93.29463196,3.079999924
Ecuador,2012,10.26,6.76,4.070286801,92.06472778,3.230000019
Ecuador,2011,10.01,6.48,6.221016513,91.5868988,3.460000038
Ecuador,2010,10.18,6.12,1.892865177,91.85404205,4.090000153
Ecuador,2009,10.76,5.7,-1.058101365,92.24976349,4.610000134
Ecuador,2008,10.83,5.38,4.607021102,92.3900528,3.920000076
Ecuador,2007,10.54,5.34,0.494765341,92.0967865,3.140000105
Ecuador,2006,10.39,5.7,2.669282015,,3.549999952
Ecuador,2005,10.3,5.59,3.54392893,,3.779999971
Ecuador,2004,9.43,5.57,6.406664248,,5
Ecuador,2003,8.89,5.44,0.984821248,,5.659999847
Ecuador,2002,8.36,4.47,2.284631765,,4.897999763
Ecuador,2001,7.3,3.75,2.134705573,90.98403168,4.25
Ecuador,2000,6.84,3.33,-0.813578256,,4.800000191
El Salvador,2019,6.11,7.17,1.862065946,89.13791656,4.170000076
El Salvador,2018,6.07,7.09,1.91195325,89.00859833,4.010000229
El Salvador,2017,6.16,7.21,1.734694342,88.48271179,4.389999866
El Salvador,2016,5.77,7.71,2.045533404,88.14176941,4.420000076
El Salvador,2015,6.78,7.63,1.913344163,87.96984863,4
El Salvador,2014,5.96,7.68,1.241379602,,4.150000095
El Salvador,2013,6.72,7.72,1.772805347,86.76757813,3.690000057
El Salvador,2012,6.97,7.54,2.364627628,,3.839999914
El Salvador,2011,8.02,8.14,3.37090112,85.49398804,4.300000191
El Salvador,2010,6.4,8.24,1.674149767,84.49272156,4.889999866
El Salvador,2009,8.95,8.4,-2.499332253,84.10289001,7.329999924
El Salvador,2008,7.28,7.66,1.694376294,83.95130157,5.880000114
El Salvador,2007,8.48,7.64,1.419038494,82.02863312,6.409999847
El Salvador,2006,6.99,7.92,3.876742062,83.5594635,6.570000172
El Salvador,2005,8.2,8.44,2.229729368,,7.21999979
El Salvador,2004,7.34,8.5,0.391539693,,6.050000191
El Salvador,2003,7.22,8.41,1.024259931,,6.260000229
El Salvador,2002,5.92,8.78,0.974296173,,5.730000019
El Salvador,2001,7.42,8.82,0.214611682,,6.960000038
El Salvador,2000,6.73,8.92,0.387713347,,6.960000038
Guatemala,2019,6.23,6.21,2.258711898,,2.190000057
Guatemala,2018,6.31,6.12,1.681706931,80.81067657,2.279999971
Guatemala,2017,6.01,6.14,1.415648841,,2.460000038
Guatemala,2016,6.21,6.07,0.989365749,,2.579999924
Guatemala,2015,6.4,6.01,2.346295146,,2.50999999
Guatemala,2014,6.41,5.89,2.653911909,81.2858963,2.720000029
Guatemala,2013,6.67,5.77,1.888642581,77.0386734,3.019999981
Guatemala,2012,7.01,6.07,1.16050889,78.26486206,2.75999999
Guatemala,2011,7.63,5.96,2.28579517,,3.085000038
Guatemala,2010,8.66,6.12,1.01189486,,3.5
Guatemala,2009,9.46,6.34,-1.395470656,,3.512000084
Guatemala,2008,9.87,6.08,1.321659783,,3.309000015
Guatemala,2007,10.36,6.19,4.25714893,,3.108999968
Guatemala,2006,13.31,6.36,3.238219371,,3.061000109
Guatemala,2005,14.16,6.15,1.152934092,,3.051000118
Guatemala,2004,13.94,6.26,0.968363113,,2.970000029
Guatemala,2003,13.86,6.15,0.348007859,,2.809999943
Guatemala,2002,13.67,6.01,1.48038852,69.10173035,2.750999928
Guatemala,2001,14.09,6.07,-0.096568126,,2.78399992
Guatemala,2000,13.48,5.4,1.117529132,,2.724999905
Honduras,2019,2.58,7.28,0.98266168,88.50743103,5.699999809
Honduras,2018,2.6,7.22,2.128163573,87.20523834,5.650000095
Honduras,2017,2.71,6.99,3.083615218,,5.53000021
Honduras,2016,2.66,7.69,2.123580991,88.98748016,6.730000019
Honduras,2015,4.57,7.48,2.04738682,87.90682983,6.150000095
Honduras,2014,4.07,7.91,1.250739368,87.19753265,7.079999924
Honduras,2013,3.9,8.48,0.947637134,85.4644165,5.650000095
Honduras,2012,3.95,8.66,2.200268026,85.35555267,3.75
Honduras,2011,2.59,8.79,1.837464552,85.12329865,4.46999979
Honduras,2010,2.66,8.73,1.652306417,84.75536346,4.119999886
Honduras,2009,2.72,9,-4.464506794,,3.289999962
Honduras,2008,2.84,8.6,1.979591927,,3.160000086
Honduras,2007,2.92,8.08,3.819035508,83.58898926,3.210000038
Honduras,2006,2.97,7.86,4.120046637,,3.569999933
Honduras,2005,2.98,7.5,3.547847381,,4.909999847
Honduras,2004,2.97,6.85,3.655901373,,5.989999771
Honduras,2003,3.04,6.89,1.942219727,,5.300000191
Honduras,2002,3.02,6.24,1.098739428,,4.019999981
Honduras,2001,2.99,5.93,0.024209647,80.0110321,4
Honduras,2000,3.01,6.27,4.396736963,,3.838999987
Jamaica,2019,2.28,6.1,0.432912117,,7.690000057
Jamaica,2018,2.21,5.97,1.40370908,,9.100000381
Jamaica,2017,2.19,6.15,0.49207659,,11.63000011
Jamaica,2016,2.18,5.7,0.844390414,,13.18999958
Jamaica,2015,2.17,5.62,0.36689482,,13.51000023
Jamaica,2014,2.18,5.17,0.114534393,88.09999847,13.73999977
Jamaica,2013,2.01,4.95,-0.065368676,,15.25
Jamaica,2012,2.09,4.89,-1.179993906,,13.93000031
Jamaica,2011,2.28,5.24,1.17354565,,12.69999981
Jamaica,2010,1.97,5.3,-1.969941261,,12.36999989
Jamaica,2009,2.39,5.15,-4.823260758,,11.35999966
Jamaica,2008,2.29,5.61,-1.298074454,,10.59000015
Jamaica,2007,1.85,5.32,0.925752257,,9.75
Jamaica,2006,1.63,4.21,2.360648565,,10.31999969
Jamaica,2005,1.6,4.55,0.342085609,,11.26000023
Jamaica,2004,1.72,4.8,0.74445447,,12.21000004
Jamaica,2003,1.87,4.22,3.031373172,,11.72999954
Jamaica,2002,1.95,4.75,1.310312585,,14.18999958
Jamaica,2001,2.01,5.16,0.586824056,,14.93000031
Jamaica,2000,2.05,5.64,0.041904059,,15.53999996
México,2019,5.29,5.43,-1.260115672,,3.480000019
México,2018,5.36,5.38,1.050314217,95.37991333,3.279999971
México,2017,5.89,5.46,0.931456542,94.97277832,3.420000076
México,2016,5.57,5.55,1.403020673,94.85961914,3.859999895
México,2015,5.6,5.72,2.019036884,94.47228241,4.309999943
México,2014,5.72,5.55,1.544035107,94.55587769,4.809999943
México,2013,5.28,5.81,0.029452795,93.96285248,4.909999847
México,2012,4.95,5.67,2.24713983,94.22840118,4.889999866
México,2011,5.36,5.52,2.227163478,93.51998138,5.170000076
México,2010,4.66,5.74,3.617190331,93.06893921,5.300000191
México,2009,4.81,6.13,-6.674165378,93.44187927,5.360000134
México,2008,4.58,5.7,-0.357632975,92.92559814,3.869999886
México,2007,4.3,5.77,0.782569044,92.79517365,3.630000114
México,2006,4.25,5.66,2.984432541,91.73451996,3.569999933
México,2005,4.35,5.84,0.869521533,91.63027191,3.559999943
México,2004,4.26,5.95,2.494831023,90.95374298,3.940000057
México,2003,4.27,5.81,0.07226822,,3.460000038
México,2002,4.15,5.07,-1.402939066,90.27465057,3
México,2001,4.16,4.82,-1.792902633,,2.630000114
México,2000,3.86,4.45,3.440976329,90.53562164,2.650000095
Nicaragua,2019,4.66,8.4,-4.852108646,,5.210999966
Nicaragua,2018,5.04,8.59,-4.569253481,,5.199999809
Nicaragua,2017,4.73,8.34,3.307216049,,3.299999952
Nicaragua,2016,4.59,8.05,3.223799153,,3.900000095
Nicaragua,2015,4.47,7.96,3.436559084,82.61454773,4.699999809
Nicaragua,2014,4.95,7.98,3.416526898,,4.519999981
Nicaragua,2013,5.87,7.64,3.543392464,,5.28000021
Nicaragua,2012,4.86,7.49,5.08092217,,5.210000038
Nicaragua,2011,5.94,7.45,4.89429304,,6.495999813
Nicaragua,2010,5.37,7.71,3.002818391,,7.829999924
Nicaragua,2009,5.47,7.69,-4.607404722,,8.159999847
Nicaragua,2008,5.57,7.17,2.022687036,,6.199999809
Nicaragua,2007,5.4,6.96,3.642276137,,4.889999866
Nicaragua,2006,5.27,6.36,2.735244475,,5.309999943
Nicaragua,2005,6.07,6.22,2.8680733,78.00298309,5.369999886
Nicaragua,2004,6.43,6.06,3.882831193,,6.409999847
Nicaragua,2003,6.65,6.08,1.110599769,,7.599999905
Nicaragua,2002,5.85,5.73,-0.673728588,,7.578000069
Nicaragua,2001,6.21,5.48,1.438912621,76.67713165,7.449999809
Nicaragua,2000,6.28,5.24,2.494285239,,7.354000092
Panamá,2019,2.86,7.58,1.292536373,95.73607635,4.725999832
